[11/Dec/2017 07:17:20] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:17:20] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:17:20] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:01] "GET /openvpn/ HTTP/1.1" 200 2654
[11/Dec/2017 07:18:01] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:01] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:01] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:05] "GET /openvpn/ HTTP/1.1" 200 2654
[11/Dec/2017 07:18:05] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:05] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:18:05] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:13] "GET /openvpn/ HTTP/1.1" 200 2523
[11/Dec/2017 07:19:13] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:13] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:13] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:24] "GET /openvpn/ HTTP/1.1" 200 2434
[11/Dec/2017 07:19:24] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:24] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:19:24] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:06] "GET /openvpn/ HTTP/1.1" 200 2455
[11/Dec/2017 07:20:07] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:07] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:07] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:53] "GET /openvpn/ HTTP/1.1" 200 2529
[11/Dec/2017 07:20:53] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:53] "GET /static/css/style-metro.css HTTP/1.1" 304 0
[11/Dec/2017 07:20:53] "GET /static/css/style.css HTTP/1.1" 304 0
[11/Dec/2017 07:22:04] "GET /openvpn/ HTTP/1.1" 200 2566
